City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,35.76,78.0,99.0,27.6,TF,1717451127.0
1,blackmans bay,-43.0167,147.3167,48.33,96.0,0.0,1.01,AU,1717451128.0
2,wailua homesteads,22.0669,-159.378,81.03,82.0,100.0,14.97,US,1717450986.0
3,bethel,41.3712,-73.414,84.63,37.0,75.0,4.61,US,1717451129.0
4,kaltungo,9.8142,11.3089,84.13,54.0,55.0,7.85,NG,1717451130.0
5,tralee,52.2704,-9.7026,54.57,94.0,100.0,4.97,IE,1717451130.0
6,thinadhoo,0.5333,72.9333,83.14,74.0,88.0,5.93,MV,1717451131.0
7,hermanus,-34.4187,19.2345,59.81,89.0,100.0,13.2,ZA,1717450980.0
8,adamstown,-25.066,-130.1015,70.34,82.0,100.0,7.2,PN,1717450958.0
9,flying fish cove,-10.4217,105.6791,78.48,94.0,100.0,11.5,CX,1717451132.0
10,colonia,50.9333,6.95,61.03,74.0,100.0,3.44,DE,1717451127.0
11,atafu village,-8.5421,-172.5159,84.07,74.0,83.0,9.37,TK,1717451134.0
12,magadan,59.5667,150.8,44.53,90.0,100.0,5.23,RU,1717451134.0
13,freetown,8.484,-13.2299,82.11,78.0,40.0,6.91,SL,1717450906.0
14,alice springs,-23.7,133.8833,51.35,100.0,20.0,6.91,AU,1717451135.0
15,ilulissat,69.2167,-51.1,37.42,60.0,20.0,8.05,GL,1717450968.0
16,san antonio de pale,-1.4014,5.6325,78.49,81.0,87.0,12.71,GQ,1717451136.0
17,al jawf,29.5,38.75,88.75,13.0,4.0,10.49,SA,1717451137.0
18,mil'kovo,55.6078,37.7956,64.06,92.0,32.0,8.41,RU,1717451020.0
19,snowflake,34.5134,-110.0785,85.71,10.0,7.0,19.98,US,1717451138.0
20,waitangi,-43.9535,-176.5597,47.82,76.0,89.0,8.01,NZ,1717451139.0
21,yellowknife,62.456,-114.3525,55.42,69.0,75.0,15.01,CA,1717450966.0
22,iqaluit,63.7506,-68.5145,31.73,93.0,100.0,17.27,CA,1717451140.0
23,new norfolk,-42.7826,147.0587,49.71,97.0,66.0,3.06,AU,1717450965.0
24,hoylake,53.3905,-3.1807,58.93,86.0,100.0,1.99,GB,1717451141.0
25,iskateley,67.6803,53.1512,38.01,78.0,100.0,4.0,RU,1717450980.0
26,tual,-5.6667,132.75,80.04,82.0,99.0,9.15,ID,1717451143.0
27,ushuaia,-54.8,-68.3,38.86,75.0,20.0,10.36,AR,1717451143.0
28,lata,40.1629,-8.3327,58.98,72.0,0.0,1.3,PT,1717451144.0
29,washington,47.5001,-120.5015,63.0,41.0,7.0,12.68,US,1717450853.0
30,avarua,-21.2078,-159.775,75.25,64.0,100.0,6.91,CK,1717451145.0
31,hamilton,39.1834,-84.5333,84.16,61.0,0.0,8.05,US,1717451012.0
32,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,75.0,0.0,3.0,RU,1717450975.0
33,askino,56.0901,56.5783,58.21,95.0,37.0,5.08,RU,1717451147.0
34,albany,42.6001,-73.9662,86.43,31.0,82.0,1.01,US,1717450893.0
35,tura,25.5198,90.2201,70.86,94.0,100.0,3.83,IN,1717450995.0
36,jamestown,42.097,-79.2353,77.45,60.0,0.0,5.75,US,1717451006.0
37,constantia,44.1833,28.65,68.7,87.0,100.0,4.99,RO,1717451061.0
38,west island,-12.1568,96.8225,82.38,89.0,40.0,8.05,CC,1717450959.0
39,kone,-21.0595,164.8658,80.4,69.0,8.0,4.79,NC,1717451150.0
40,carnarvon,-24.8667,113.6333,64.51,63.0,0.0,10.76,AU,1717451151.0
41,hammerfest,70.6634,23.6821,54.05,71.0,40.0,11.5,NO,1717451151.0
42,san patricio,28.017,-97.5169,94.15,62.0,91.0,21.12,US,1717451152.0
43,puerto ayora,-0.7393,-90.3518,82.36,96.0,86.0,1.01,EC,1717451040.0
44,minas de marcona,-15.2119,-75.1103,59.11,69.0,3.0,11.01,PE,1717451153.0
45,pechora,65.1472,57.2244,45.86,88.0,100.0,5.99,RU,1717451154.0
46,pimentel,-6.8367,-79.9342,70.09,68.0,0.0,13.8,PE,1717451154.0
47,taiohae,,,,,,,,
48,palikir - national government center,6.9248,158.1611,83.25,89.0,100.0,9.22,FM,1717451156.0
49,fortuna,40.5982,-124.1573,65.93,83.0,100.0,10.36,US,1717451156.0
50,tiksi,71.6872,128.8694,38.61,78.0,29.0,3.56,RU,1717451157.0
51,papatowai,-46.5619,169.4708,48.06,62.0,30.0,2.13,NZ,1717451158.0
52,klyuchi,52.2667,79.1667,60.06,64.0,100.0,16.24,RU,1717451158.0
53,nueva esperanza,15.2667,-87.6,92.82,66.0,97.0,4.74,HN,1717451159.0
54,corner brook,48.9667,-57.9484,57.36,92.0,98.0,6.69,CA,1717451008.0
55,djougou,9.7085,1.666,78.75,70.0,66.0,5.88,BJ,1717451160.0
56,suwayr,30.1171,40.3893,90.54,12.0,3.0,9.15,SA,1717451161.0
57,nambucca heads,-30.65,153.0,48.2,60.0,14.0,5.23,AU,1717451161.0
58,puerto san carlos,,,,,,,,
59,caazapa,-26.15,-56.4,61.45,81.0,94.0,7.94,PY,1717451163.0
60,sinabang,2.4803,96.3801,80.17,86.0,48.0,4.29,ID,1717451163.0
61,egilsstadir,65.2653,-14.3948,37.31,70.0,100.0,17.27,IS,1717451164.0
62,edinburgh of the seven seas,-37.0676,-12.3116,53.69,59.0,32.0,6.11,SH,1717451164.0
63,zhanibek,49.4167,46.85,69.49,64.0,75.0,6.2,KZ,1717451165.0
64,ayod,,,,,,,,
65,mitu,1.1983,-70.1733,73.08,99.0,100.0,3.71,CO,1717451166.0
66,ozark,37.0209,-93.206,75.63,86.0,48.0,4.0,US,1717451058.0
67,lebu,-37.6167,-73.65,53.04,62.0,100.0,10.98,CL,1717451167.0
68,coracao de jesus,-16.6853,-44.365,72.91,52.0,100.0,7.83,BR,1717451168.0
69,sao vicente,-23.9631,-46.3919,80.78,66.0,0.0,0.0,BR,1717450977.0
70,codrington,-38.2667,141.9667,44.98,86.0,100.0,5.39,AU,1717450993.0
71,remire-montjoly,4.9167,-52.2667,82.44,83.0,20.0,5.75,GF,1717451170.0
72,gadzhiyevo,69.2551,33.3362,50.47,91.0,3.0,3.83,RU,1717451004.0
73,queenstown,-31.8976,26.8753,39.96,72.0,36.0,25.95,ZA,1717451044.0
74,lazaro cardenas,17.9583,-102.2,85.66,53.0,3.0,14.58,MX,1717451171.0
75,corinto,37.9407,22.9573,80.24,55.0,1.0,2.3,GR,1717451172.0
76,hasaki,35.7333,140.8333,64.8,71.0,94.0,16.15,JP,1717451172.0
